entry_time,exit_time,symbol,direction,entry_price,exit_price,pnl,ret,reason
2026-05-27 09:53:40,2026-05-27 09:54:10,TX420260544800C,LONG,34.0,31.5,-225.0,-0.1323529411764706,觸及權利金硬停利 (+250.0%)
2026-05-27 09:54:40,2026-05-27 09:55:10,TX420260544800C,LONG,32.5,29.5,-250.0,-0.15384615384615385,觸及權利金硬停利 (+250.0%)
2026-05-27 09:55:10,2026-05-27 09:55:41,TX420260544700P,LONG,29.5,300.0,13425.0,9.101694915254237,觸及權利金硬停利 (+250.0%)
2026-05-27 09:55:41,2026-05-27 09:56:11,TX420260544700P,LONG,300.0,314.0,600.0,0.04,觸及權利金硬停損 (-50.0%)
2026-05-27 09:56:11,2026-05-27 09:56:41,TX420260544700P,LONG,314.0,286.0,-1500.0,-0.09554140127388536,觸及權利金硬停損 (-50.0%)
2026-05-27 09:56:41,2026-05-27 09:57:12,TX420260544700P,LONG,286.0,310.0,1100.0,0.07692307692307693,觸及權利金硬停損 (-50.0%)
2026-05-27 09:57:12,2026-05-27 09:57:42,TX420260544700P,LONG,310.0,308.0,-200.0,-0.012903225806451613,觸及權利金硬停損 (-50.0%)
2026-05-27 09:57:42,2026-05-27 09:58:12,TX420260544700P,LONG,308.0,306.0,-200.0,-0.012987012987012988,觸及權利金硬停損 (-50.0%)
2026-05-27 09:58:12,2026-05-27 09:58:43,TX420260544700P,LONG,306.0,307.0,-50.0,-0.0032679738562091504,觸及權利金硬停損 (-50.0%)
2026-05-27 09:59:13,2026-05-27 09:59:43,TX420260544700P,LONG,323.0,328.0,150.0,0.009287925696594427,觸及權利金硬停損 (-50.0%)
2026-05-27 09:59:43,2026-05-27 10:00:13,TX420260544700P,LONG,328.0,314.0,-800.0,-0.04878048780487805,觸及權利金硬停損 (-50.0%)
2026-05-27 10:03:15,2026-05-27 10:03:46,TX420260544800C,SHORT,28.0,28.0,-100.0,-0.07142857142857142,觸及權利金硬停損 (-50.0%)
2026-05-27 10:19:25,2026-05-27 10:19:55,TX420260544900P,SHORT,294.0,294.0,-100.0,-0.006802721088435374,觸及權利金硬停損 (-50.0%)
2026-05-27 10:19:55,2026-05-27 10:35:04,TX420260545100C,LONG,294.0,13.0,-14150.0,-0.9625850340136054,觸及權利金硬停損 (-50.0%)
2026-05-27 10:44:09,2026-05-27 10:44:40,TX420260545100C,LONG,19.5,20.0,-75.0,-0.07692307692307693,觸及權利金硬停損 (-50.0%)
2026-05-27 10:44:40,2026-05-27 10:45:10,TX420260545100C,LONG,20.0,19.0,-150.0,-0.15,觸及權利金硬停損 (-50.0%)
2026-05-27 10:45:10,2026-05-27 10:45:40,TX420260545100C,LONG,19.0,19.0,-100.0,-0.10526315789473684,觸及權利金硬停損 (-50.0%)
2026-05-27 10:45:40,2026-05-27 10:46:11,TX420260545100C,LONG,19.0,19.5,-75.0,-0.07894736842105263,觸及權利金硬停損 (-50.0%)
2026-05-27 10:46:11,2026-05-27 10:46:41,TX420260545200P,LONG,19.5,375.0,17675.0,18.128205128205128,觸及權利金硬停利 (+250.0%)
2026-05-27 10:46:41,2026-05-27 10:47:11,TX420260545200P,SHORT,375.0,385.0,-600.0,-0.032,觸及權利金硬停損 (-50.0%)
2026-05-27 10:47:11,2026-05-27 10:47:42,TX420260545200P,SHORT,385.0,385.0,-100.0,-0.005194805194805195,觸及權利金硬停損 (-50.0%)
2026-05-27 10:47:42,2026-05-27 10:48:12,TX420260545200P,SHORT,385.0,381.0,100.0,0.005194805194805195,觸及權利金硬停損 (-50.0%)
2026-05-27 10:48:12,2026-05-27 10:48:42,TX420260545200P,SHORT,381.0,395.0,-800.0,-0.04199475065616798,觸及權利金硬停損 (-50.0%)
2026-05-27 10:49:12,2026-05-27 10:49:43,TX420260545200P,SHORT,395.0,421.0,-1400.0,-0.07088607594936709,觸及權利金硬停損 (-50.0%)
2026-05-27 10:49:43,2026-05-27 10:50:13,TX420260545200P,SHORT,421.0,409.0,500.0,0.023752969121140142,觸及權利金硬停損 (-50.0%)
2026-05-27 10:50:13,2026-05-27 10:50:43,TX420260545200P,SHORT,409.0,409.0,-100.0,-0.004889975550122249,觸及權利金硬停損 (-50.0%)
2026-05-27 10:50:43,2026-05-27 10:51:13,TX420260545200P,SHORT,409.0,424.0,-850.0,-0.04156479217603912,觸及權利金硬停損 (-50.0%)
2026-05-27 10:52:14,2026-05-27 11:00:49,TX420260545100C,LONG,424.0,11.5,-20725.0,-0.9775943396226415,觸及權利金硬停損 (-50.0%)
2026-05-27 11:00:49,2026-05-27 11:01:19,TX420260545100C,LONG,11.5,9.1,-220.0,-0.3826086956521739,觸及權利金硬停損 (-50.0%)
2026-05-27 11:28:05,2026-05-27 11:28:35,TX420260545100C,LONG,4.3,4.5,-89.99999999999999,-0.4186046511627906,觸及權利金硬停利 (+250.0%)
2026-05-27 11:28:35,2026-05-27 11:29:06,TX420260545100C,LONG,4.5,4.0,-125.0,-0.5555555555555556,觸及權利金硬停利 (+250.0%)
2026-05-27 11:29:06,2026-05-27 11:29:36,TX420260545100C,LONG,4.0,4.3,-85.00000000000001,-0.42500000000000004,觸及權利金硬停利 (+250.0%)
2026-05-27 11:29:36,2026-05-27 11:30:06,TX420260545100C,LONG,4.3,4.2,-104.99999999999999,-0.48837209302325574,觸及權利金硬停利 (+250.0%)
2026-05-27 11:30:06,2026-05-27 11:30:37,TX420260545100C,LONG,4.2,3.8,-120.00000000000001,-0.5714285714285715,觸及權利金硬停利 (+250.0%)
2026-05-27 11:30:37,2026-05-27 11:31:07,TX420260545100C,LONG,3.8,3.7,-104.99999999999999,-0.5526315789473684,觸及權利金硬停利 (+250.0%)
2026-05-27 11:31:07,2026-05-27 11:31:37,TX420260545100C,LONG,3.7,3.4,-115.00000000000001,-0.6216216216216217,觸及權利金硬停利 (+250.0%)
2026-05-27 11:31:37,2026-05-27 11:32:08,TX420260545100C,LONG,3.4,2.4,-150.0,-0.8823529411764706,觸及權利金硬停利 (+250.0%)
2026-05-27 11:32:08,2026-05-27 11:32:38,TX420260545100C,LONG,2.4,2.1,-114.99999999999999,-0.9583333333333333,觸及權利金硬停利 (+250.0%)
2026-05-27 11:32:38,2026-05-27 11:33:08,TX420260545100C,LONG,2.1,1.7,-120.0,-1.1428571428571428,觸及權利金硬停利 (+250.0%)
2026-05-27 11:33:08,2026-05-27 11:33:38,TX420260545000P,LONG,1.7,358.0,17715.0,208.41176470588235,觸及權利金硬停利 (+250.0%)
2026-05-27 11:33:38,2026-05-27 11:34:39,TX420260545100C,LONG,358.0,1.2,-17940.0,-1.0022346368715085,觸及權利金硬停損 (-50.0%)
2026-05-27 11:35:09,2026-05-27 11:35:40,TX420260545100C,LONG,1.0,1.0,-100.0,-2.0,觸及權利金硬停利 (+250.0%)
2026-05-27 11:36:10,2026-05-27 11:36:40,TX420260545100C,LONG,0.9,1.4,-75.0,-1.6666666666666667,觸及權利金硬停利 (+250.0%)
2026-05-27 11:37:11,2026-05-27 11:37:41,TX420260545100C,LONG,1.5,1.6,-95.0,-1.2666666666666666,觸及權利金硬停利 (+250.0%)
2026-05-27 11:38:11,2026-05-27 11:38:41,TX420260545100C,SHORT,1.6,1.6,-100.0,-1.25,觸及權利金硬停損 (-50.0%)
2026-05-27 11:39:12,2026-05-27 11:39:42,TX420260545100C,LONG,1.9,1.9,-100.0,-1.0526315789473684,觸及權利金硬停損 (-50.0%)
2026-05-27 11:39:42,2026-05-27 11:40:12,TX420260545100C,LONG,1.9,2.4,-75.0,-0.7894736842105263,觸及權利金硬停損 (-50.0%)
2026-05-27 11:40:12,2026-05-27 11:40:43,TX420260545100C,LONG,2.4,1.7,-135.0,-1.125,觸及權利金硬停損 (-50.0%)
2026-05-27 11:42:14,2026-05-27 11:42:44,TX420260545100C,LONG,1.9,1.4,-125.0,-1.3157894736842106,觸及權利金硬停損 (-50.0%)
2026-05-27 11:42:44,2026-05-27 11:43:14,TX420260545000P,LONG,1.4,350.0,17330.0,247.57142857142858,觸及權利金硬停利 (+250.0%)
2026-05-27 11:43:14,2026-05-27 11:50:18,TX420260544900P,LONG,350.0,342.0,-500.0,-0.02857142857142857,觸及權利金硬停損 (-50.0%)
2026-05-27 11:51:49,2026-05-27 11:52:19,TX420260545000P,SHORT,411.0,411.0,-100.0,-0.004866180048661801,觸及權利金硬停損 (-50.0%)
2026-05-27 11:53:20,2026-05-27 11:53:50,TX420260545000P,LONG,361.0,355.0,-400.0,-0.0221606648199446,觸及權利金硬停損 (-50.0%)
2026-05-27 11:55:21,2026-05-27 11:55:51,TX420260545000P,LONG,367.0,381.0,600.0,0.0326975476839237,觸及權利金硬停損 (-50.0%)
