entry_date,signal,opt_type,K,T,prob_down,prob_neutral,prob_up,atr,macd_hist,rsi,vwap_bias,vix_ret_1d,exit_date,trade_type,ret
2026-05-25 19:42:00,1,Call,44100,0.019178082191780823,0.00036282363,0.013752379,0.21104774,13.428571428571429,-4.863383138499527,38.392857138058034,0.007850826856529727,0,2026-05-25 19:46:00,Trailing_Stop,0.008759099060476127
2026-05-25 19:47:00,2,Call,44100,0.019178082191780823,0.0005620386,0.012534847,0.19287424,9.928571428571429,0.1539403577005185,69.86301368523175,0.007717970229103446,0,2026-05-25 19:48:00,Trailing_Stop,0.009793873895134904
2026-05-25 19:49:00,2,Call,44100,0.019178082191780823,0.025680976,0.02234848,0.17138465,9.857142857142858,1.9133375460012552,76.056338013172,0.008137405254300232,0,2026-05-25 19:50:00,Trailing_Stop,0.00891467495961777
2026-05-25 19:51:00,2,Call,44150,0.019178082191780823,0.03753215,0.02932935,0.13923946,12.214285714285714,4.2035742414607515,81.60919538916633,0.008537918607028504,0,2026-05-25 20:05:00,Stop_Loss,-0.015310676505802099
2026-05-25 19:52:00,2,Call,44150,0.019178082191780823,0.027282856,0.015326605,0.1392671,13.214285714285714,-4.466694408612943,42.982456135072326,0.007984643092008276,0,2026-05-25 19:54:00,Trailing_Stop,0.004926634815595034
2026-05-25 19:55:00,2,Call,44100,0.019178082191780823,0.019377278,0.017354129,0.14401822,14.785714285714286,2.584378195794258,72.54901959788543,0.008314329126635914,0,2026-05-25 20:01:00,Stop_Loss,-0.017326735939629717
2026-05-25 20:02:00,2,Call,44100,0.019178082191780823,0.002899768,0.006129771,0.14754306,16.714285714285715,-3.6638459650772788,49.99999999453125,0.007767376502234227,0,2026-05-25 19:53:00,Trailing_Stop,0.02225000103619357
2026-05-25 18:47:00,2,Call,44000,0.019178082191780823,0.0015396804,0.00755213,0.18198276,13.357142857142858,3.83730994010892,77.89473683062603,0.008484309718027893,0,2026-05-25 17:37:00,Stop_Loss,-0.016220202225026483
2026-05-25 18:45:00,2,Call,44000,0.019178082191780823,0.0116436165,0.021404862,0.18232398,9.071428571428571,0.6136569695039551,53.26086955711248,0.00521269543403652,0,2026-05-25 17:27:00,Stop_Loss,-0.01229078250317482
2026-05-25 17:28:00,2,Call,43950,0.019178082191780823,0.024232656,0.03473478,0.18222816,8.357142857142858,-3.0543567843601247,38.37209301700919,0.004980819181862649,0,2026-05-25 17:32:00,Trailing_Stop,0.006088544888652257
2026-05-25 17:33:00,2,Call,44000,0.019178082191780823,0.0020484184,0.04877182,0.18619682,8.0,0.17058183541471017,53.84615383786983,0.005387700307167625,0,2026-05-25 17:26:00,Stop_Loss,-0.01131927339327725
